image_path,x_min,y_min,x_max,y_max
C:\2026\PneumoFusionNet\mimic\1000_dataset\restricted_Dowloaded_dataset\image_subset\500b2365-38f4713b-98374038-e6b6fdb1-dc70125c.jpg,0,0,1727,2022
C:\2026\PneumoFusionNet\mimic\1000_dataset\restricted_Dowloaded_dataset\image_subset\83c7ad33-e236b52e-e96de802-5bb73704-1042b21d.jpg,0,0,2022,1736
C:\2026\PneumoFusionNet\mimic\1000_dataset\restricted_Dowloaded_dataset\image_subset\9026194f-4118a402-3070b547-97f09fe1-5ad8ad3e.jpg,0,52,1725,1653
C:\2026\PneumoFusionNet\mimic\1000_dataset\restricted_Dowloaded_dataset\image_subset\4d1884a1-fe2f6e79-542990f6-2d8f6daa-f048c653.jpg,0,0,1736,2022
C:\2026\PneumoFusionNet\mimic\1000_dataset\restricted_Dowloaded_dataset\image_subset\84abc8d8-031c07ce-3384515f-31bec15f-21f20175.jpg,0,31,3019,2539
C:\2026\PneumoFusionNet\mimic\1000_dataset\restricted_Dowloaded_dataset\image_subset\f77b4a5a-3e21b8a1-8509a838-175d7693-2a11fae6.jpg,0,0,3027,2544
C:\2026\PneumoFusionNet\mimic\1000_dataset\restricted_Dowloaded_dataset\image_subset\f46b17a3-bfbb1f0c-8c6a0483-b90066f2-21aad8fe.jpg,0,0,2022,2022
C:\2026\PneumoFusionNet\mimic\1000_dataset\restricted_Dowloaded_dataset\image_subset\a0f5a046-acbb3675-85f153be-e9a9745e-2c4cf8a6.jpg,58,314,2504,3056
C:\2026\PneumoFusionNet\mimic\1000_dataset\restricted_Dowloaded_dataset\image_subset\82ead4f1-a969f53c-336aad75-3917cae1-7274cfd7.jpg,15,35,2519,3056
C:\2026\PneumoFusionNet\mimic\1000_dataset\restricted_Dowloaded_dataset\image_subset\ef631a7d-e495bf7c-b0d9de5c-4fd5cb30-2d32d468.jpg,0,0,3007,2527
C:\2026\PneumoFusionNet\mimic\1000_dataset\restricted_Dowloaded_dataset\image_subset\6a0cc9e1-049b94db-9732e508-cf234092-1ae581e6.jpg,0,43,2544,3056
C:\2026\PneumoFusionNet\mimic\1000_dataset\restricted_Dowloaded_dataset\image_subset\b12296ec-856f2dbd-74118073-0f692f52-b7ccf353.jpg,55,4,2537,2544
C:\2026\PneumoFusionNet\mimic\1000_dataset\restricted_Dowloaded_dataset\image_subset\8aabd61e-c8522a61-5c773357-c8df7ede-16a7dbc9.jpg,0,0,2022,2022
C:\2026\PneumoFusionNet\mimic\1000_dataset\restricted_Dowloaded_dataset\image_subset\75420d75-4f45654a-e63a41a1-da1ad953-680cdde5.jpg,52,176,1722,2021
C:\2026\PneumoFusionNet\mimic\1000_dataset\restricted_Dowloaded_dataset\image_subset\f7377a3d-42fd3dfd-ddd2cb32-13cb9595-aff7f9a7.jpg,0,43,2544,2782
C:\2026\PneumoFusionNet\mimic\1000_dataset\restricted_Dowloaded_dataset\image_subset\b33e02e4-38b5f4c8-99167c80-f7afcd72-38ee5e58.jpg,0,51,3056,2544
C:\2026\PneumoFusionNet\mimic\1000_dataset\restricted_Dowloaded_dataset\image_subset\444513a7-cd8b1cc3-bb3c8159-a4423299-4870f21b.jpg,35,19,2511,3056
C:\2026\PneumoFusionNet\mimic\1000_dataset\restricted_Dowloaded_dataset\image_subset\880d158a-8f82b306-a6594428-32ce4684-68b0cecc.jpg,102,0,3056,2428
C:\2026\PneumoFusionNet\mimic\1000_dataset\restricted_Dowloaded_dataset\image_subset\d4e8c723-198ef4d4-f55a48c1-cc3d7741-7fc06675.jpg,69,0,1771,2021
C:\2026\PneumoFusionNet\mimic\1000_dataset\restricted_Dowloaded_dataset\image_subset\2a3ad5cf-e718c4fb-6ebb9a52-28708104-80825228.jpg,0,0,1736,2022
C:\2026\PneumoFusionNet\mimic\1000_dataset\restricted_Dowloaded_dataset\image_subset\7589ba04-b5ef936a-84c525c6-fc32f2a7-be9c4c19.jpg,0,0,2960,2544
C:\2026\PneumoFusionNet\mimic\1000_dataset\restricted_Dowloaded_dataset\image_subset\016ef184-980aa245-94275e69-8e845827-ca8c6dd2.jpg,0,39,2544,3056
C:\2026\PneumoFusionNet\mimic\1000_dataset\restricted_Dowloaded_dataset\image_subset\c8f6ea4d-746dd954-bc1be8ad-7284446f-4fa8c72e.jpg,0,7,3056,2544
C:\2026\PneumoFusionNet\mimic\1000_dataset\restricted_Dowloaded_dataset\image_subset\edfbb96f-dde3e670-168e8538-aae12759-c291b453.jpg,19,59,2544,3056
C:\2026\PneumoFusionNet\mimic\1000_dataset\restricted_Dowloaded_dataset\image_subset\f7cf5b2a-96a3c444-bb1b391f-7950c95f-27c08619.jpg,0,51,3056,2544
C:\2026\PneumoFusionNet\mimic\1000_dataset\restricted_Dowloaded_dataset\image_subset\a9f3bef2-e80b1b8f-bfb2d08a-c844491a-9f27e9e0.jpg,15,0,1736,2022
C:\2026\PneumoFusionNet\mimic\1000_dataset\restricted_Dowloaded_dataset\image_subset\e588b8b7-d5dd3443-eca08322-5738bb51-9d40f528.jpg,0,39,2515,3056
C:\2026\PneumoFusionNet\mimic\1000_dataset\restricted_Dowloaded_dataset\image_subset\d24cba1e-726d3b7e-3bff6495-3cfa22f6-e5bf7cc9.jpg,31,0,1692,2022
